TIME,GEO,WST_OPER,UNIT,Value
2002,Turkey,Waste generated,Thousand tonnes,"30,999"
2002,Turkey,Waste treatment,Thousand tonnes,"25,374"
2003,European Union - 28 countries,Waste generated,Thousand tonnes,"252,297"
2003,European Union - 28 countries,Waste treatment,Thousand tonnes,"240,252"
2003,European Union - 28 countries,Recycling - material,Thousand tonnes,"47,727"
2003,European Union - 27 countries (2007-2013),Waste generated,Thousand tonnes,"251,125"
2003,European Union - 27 countries (2007-2013),Waste treatment,Thousand tonnes,"239,373"
2003,European Union - 27 countries (2007-2013),Recycling - material,Thousand tonnes,"47,727"
2003,Belgium,Waste generated,Thousand tonnes,"4,824"
2003,Belgium,Waste treatment,Thousand tonnes,"4,800"
2003,Belgium,Recycling - material,Thousand tonnes,"1,336"
2003,Bulgaria,Waste generated,Thousand tonnes,"4,690"
2003,Bulgaria,Waste treatment,Thousand tonnes,"3,968"
2003,Bulgaria,Recycling - material,Thousand tonnes,774
2003,Czechia,Waste generated,Thousand tonnes,"2,857"
2003,Czechia,Waste treatment,Thousand tonnes,"2,475"
2003,Czechia,Recycling - material,Thousand tonnes,16
2003,Denmark,Waste generated,Thousand tonnes,"3,618"
2003,Denmark,Waste treatment,Thousand tonnes,"3,618"
2003,Denmark,Recycling - material,Thousand tonnes,926
2003,Germany (until 1990 former territory of the FRG),Waste generated,Thousand tonnes,"49,622"
2003,Germany (until 1990 former territory of the FRG),Waste treatment,Thousand tonnes,"49,622"
2003,Germany (until 1990 former territory of the FRG),Recycling - material,Thousand tonnes,"21,425"
2003,Estonia,Waste generated,Thousand tonnes,567
2003,Estonia,Waste treatment,Thousand tonnes,456
2003,Estonia,Recycling - material,Thousand tonnes,77
2003,Ireland,Waste generated,Thousand tonnes,"2,918"
2003,Ireland,Waste treatment,Thousand tonnes,"2,594"
2003,Ireland,Recycling - material,Thousand tonnes,650
2003,Greece,Waste generated,Thousand tonnes,"4,710"
2003,Greece,Waste treatment,Thousand tonnes,"4,710"
2003,Greece,Recycling - material,Thousand tonnes,382
2003,Spain,Waste generated,Thousand tonnes,"27,270"
2003,Spain,Waste treatment,Thousand tonnes,"24,774"
2003,Spain,Recycling - material,Thousand tonnes,"3,770"
2003,France,Waste generated,Thousand tonnes,"31,400"
2003,France,Waste treatment,Thousand tonnes,"31,400"
2003,France,Recycling - material,Thousand tonnes,"4,725"
2003,Italy,Waste generated,Thousand tonnes,"30,035"
2003,Italy,Waste treatment,Thousand tonnes,"25,956"
2003,Italy,Recycling - material,Thousand tonnes,"3,108"
2003,Cyprus,Waste generated,Thousand tonnes,481
2003,Cyprus,Waste treatment,Thousand tonnes,481
2003,Cyprus,Recycling - material,Thousand tonnes,15
2003,Latvia,Waste generated,Thousand tonnes,695
2003,Latvia,Waste treatment,Thousand tonnes,606
2003,Latvia,Recycling - material,Thousand tonnes,14
2003,Lithuania,Waste generated,Thousand tonnes,"1,328"
2003,Lithuania,Waste treatment,Thousand tonnes,"1,136"
2003,Luxembourg,Waste generated,Thousand tonnes,306
2003,Luxembourg,Waste treatment,Thousand tonnes,306
2003,Luxembourg,Recycling - material,Thousand tonnes,71
2003,Hungary,Waste generated,Thousand tonnes,"4,700"
2003,Hungary,Waste treatment,Thousand tonnes,"4,376"
2003,Hungary,Recycling - material,Thousand tonnes,117
2003,Malta,Waste generated,Thousand tonnes,231
2003,Malta,Waste treatment,Thousand tonnes,231
2003,Malta,Recycling - material,Thousand tonnes,1
2003,Netherlands,Waste generated,Thousand tonnes,"9,504"
2003,Netherlands,Waste treatment,Thousand tonnes,"7,778"
2003,Netherlands,Recycling - material,Thousand tonnes,"2,039"
2003,Austria,Waste generated,Thousand tonnes,"4,932"
2003,Austria,Waste treatment,Thousand tonnes,"5,279"
2003,Austria,Recycling - material,Thousand tonnes,"1,110"
2003,Poland,Waste generated,Thousand tonnes,"9,925"
2003,Poland,Waste treatment,Thousand tonnes,"9,925"
2003,Poland,Recycling - material,Thousand tonnes,145
2003,Portugal,Waste generated,Thousand tonnes,"4,693"
2003,Portugal,Waste treatment,Thousand tonnes,"4,693"
2003,Portugal,Recycling - material,Thousand tonnes,227
2003,Romania,Waste generated,Thousand tonnes,"7,611"
2003,Romania,Waste treatment,Thousand tonnes,"6,040"
2003,Romania,Recycling - material,Thousand tonnes,17
2003,Slovenia,Waste generated,Thousand tonnes,834
2003,Slovenia,Waste treatment,Thousand tonnes,804
2003,Slovenia,Recycling - material,Thousand tonnes,92
2003,Slovakia,Waste generated,Thousand tonnes,"1,511"
2003,Slovakia,Waste treatment,Thousand tonnes,"1,427"
2003,Slovakia,Recycling - material,Thousand tonnes,47
2003,Finland,Waste generated,Thousand tonnes,"2,428"
2003,Finland,Waste treatment,Thousand tonnes,"2,517"
2003,Finland,Recycling - material,Thousand tonnes,632
2003,Sweden,Waste generated,Thousand tonnes,"4,156"
2003,Sweden,Waste treatment,Thousand tonnes,"4,156"
2003,Sweden,Recycling - material,Thousand tonnes,"1,314"
2003,United Kingdom,Waste generated,Thousand tonnes,"35,279"
2003,United Kingdom,Waste treatment,Thousand tonnes,"35,245"
2003,United Kingdom,Recycling - material,Thousand tonnes,"4,698"
2003,Iceland,Waste generated,Thousand tonnes,140
2003,Iceland,Waste treatment,Thousand tonnes,141
2003,Iceland,Recycling - material,Thousand tonnes,20
2003,Norway,Waste generated,Thousand tonnes,"1,836"
2003,Norway,Waste treatment,Thousand tonnes,"1,836"
2003,Norway,Recycling - material,Thousand tonnes,576
2003,Switzerland,Waste generated,Thousand tonnes,"4,916"
2003,Switzerland,Waste treatment,Thousand tonnes,"4,916"
2003,Switzerland,Recycling - material,Thousand tonnes,"1,596"
2003,Turkey,Waste generated,Thousand tonnes,"31,081"
2003,Turkey,Waste treatment,Thousand tonnes,"26,118"
2004,European Union - 28 countries,Waste generated,Thousand tonnes,"252,798"
2004,European Union - 28 countries,Waste treatment,Thousand tonnes,"239,354"
2004,European Union - 28 countries,Recycling - material,Thousand tonnes,"49,012"
2004,European Union - 27 countries (2007-2013),Waste generated,Thousand tonnes,"251,488"
2004,European Union - 27 countries (2007-2013),Waste treatment,Thousand tonnes,"238,371"
2004,European Union - 27 countries (2007-2013),Recycling - material,Thousand tonnes,"49,012"
2004,Belgium,Waste generated,Thousand tonnes,"5,059"
2004,Belgium,Waste treatment,Thousand tonnes,"5,004"
2004,Belgium,Recycling - material,Thousand tonnes,"1,408"
2004,Bulgaria,Waste generated,Thousand tonnes,"4,619"
2004,Bulgaria,Waste treatment,Thousand tonnes,"3,885"
2004,Bulgaria,Recycling - material,Thousand tonnes,793
2004,Czechia,Waste generated,Thousand tonnes,"2,841"
2004,Czechia,Waste treatment,Thousand tonnes,"2,396"
