TIME,GEO,ANIMALS,MONTH,UNIT,Value
2002,Czechia,Live bovine animals,December,Thousand heads (animals),"1,462.00"
2002,Czechia,"Bovine animals, less than 1 year",December,Thousand heads (animals),443
2002,Czechia,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),56
2002,Czechia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),387
2002,Czechia,"Bovine animals, 1 year",December,Thousand heads (animals),350
2002,Denmark,Live bovine animals,December,Thousand heads (animals),"1,740.00"
2002,Denmark,"Bovine animals, less than 1 year",December,Thousand heads (animals),553
2002,Denmark,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),6
2002,Denmark,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),547
2002,Denmark,"Bovine animals, 1 year",December,Thousand heads (animals),330
2002,Germany (until 1990 former territory of the FRG),Live bovine animals,December,Thousand heads (animals),"13,731.96"
2002,Germany (until 1990 former territory of the FRG),"Bovine animals, less than 1 year",December,Thousand heads (animals),"4,256.48"
2002,Germany (until 1990 former territory of the FRG),"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),127.48
2002,Germany (until 1990 former territory of the FRG),"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"4,129.00"
2002,Germany (until 1990 former territory of the FRG),"Bovine animals, 1 year",December,Thousand heads (animals),"3,229.92"
2002,Estonia,Live bovine animals,December,Thousand heads (animals),253.9
2002,Estonia,"Bovine animals, less than 1 year",December,Thousand heads (animals),70
2002,Estonia,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),6
2002,Estonia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),64
2002,Estonia,"Bovine animals, 1 year",December,Thousand heads (animals),55.1
2002,Ireland,Live bovine animals,December,Thousand heads (animals),"6,332.82"
2002,Ireland,"Bovine animals, less than 1 year",December,Thousand heads (animals),"1,805.62"
2002,Ireland,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),0
2002,Ireland,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"1,805.62"
2002,Ireland,"Bovine animals, 1 year",December,Thousand heads (animals),"1,519.79"
2002,Greece,Live bovine animals,December,Thousand heads (animals),613
2002,Greece,"Bovine animals, less than 1 year",December,Thousand heads (animals),185
2002,Greece,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),134
2002,Greece,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),51
2002,Greece,"Bovine animals, 1 year",December,Thousand heads (animals),102
2002,Spain,Live bovine animals,December,Thousand heads (animals),"6,477.90"
